"COD_POS","ANNEE","nbpreltot","MOYPTOTAL","MAXPTOTAL","MINMOLRECHTOTAL","MINMOLQTOTAL","MAXMOLQTOTAL"
"01000",2009,8,0,0,2,0,0
"01000",2010,4,0.04,0.06,370,1,2
"01000",2011,8,0.03,0.04,335,0,2
"01000",2012,8,0.025,0.04,368,1,2
"01120",2007,2,0,0,1,0,0
"01120",2008,4,0,0,382,0,0
"01120",2009,4,0.0925,0.37,383,0,2
"01120",2010,8,0.09,0.24,409,0,2
"01120",2011,8,0.01,0.02,409,0,1
"01120",2012,8,0.02875,0.17,408,0,2
"01150",2007,6,0.186666667,0.58,376,2,4
"01150",2008,9,0.3525,0.83,298,0,6
"01150",2009,12,0.301666666666667,0.98,383,0,5
"01150",2010,13,0.32,0.91,247,0,5
"01150",2011,12,0.221666666666667,0.58,409,0,5
"01150",2012,13,0.180833333333333,0.53,247,0,5
"01170",2007,2,0,0,1,0,0
"01220",2007,2,0,0,1,0,0
"01240",2007,5,0.0392,0.106,262,0,2
"01240",2008,5,0.0418,0.113,266,0,2
"01240",2009,9,0.07705,0.24,269,0,5
"01240",2010,9,2.84335,12.73,247,0,5
"01240",2011,8,2.43625,10.91,329,0,6
"01240",2012,8,5.3975,23.65,329,0,6
"01250",2007,2,0.13,0.26,1,0,4
"01250",2008,4,0.2625,0.38,379,3,4
"01250",2009,4,0.2975,0.37,383,3,5
"01250",2010,4,0.335,0.43,409,3,4
"01250",2011,4,0.2475,0.4,373,1,5
"01250",2012,4,0.2475,0.3,409,3,4
"01270",2007,2,0.01,0.02,1,0,1
"01270",2009,1,0,0,271,0,0
"01310",2009,4,0.035,0.04,383,1,2
"01310",2010,4,0.0375,0.05,409,1,2
"01310",2011,4,0.0375,0.05,409,1,1
"01310",2012,4,0.035,0.07,409,1,1
"01330",2007,5,0.014,0.04,262,0,1
"01330",2008,4,0.00825,0.033,266,0,1
"01330",2009,5,0,0,269,0,0
"01330",2010,4,0,0,328,0,0
"01330",2011,4,0,0,329,0,0
"01330",2012,4,0,0,329,0,0
"01350",2007,4,0,0,262,0,0
"01350",2008,1,0,0,267,0,0
"01350",2009,1,0,0,269,0,0
"01350",2010,1,0,0,332,0,0
"01350",2011,2,0,0,329,0,0
"01350",2012,1,0,0,334,0,0
"01360",2007,11,0.0920571428,0.18,298,1,3
"01360",2008,20,0.275,0.47,381,2,3
"01360",2009,25,0.21284,0.43,299,2,4
"01360",2010,21,0.2538,0.56,247,2,3
"01360",2011,24,0.142,0.36,247,2,3
"01360",2012,21,0.14744,0.33,247,2,4
"01390",2007,2,0.045,0.09,1,0,2
"01390",2008,4,0.105,0.13,382,2,3
"01390",2009,4,0.169,0.276,383,2,6
"01390",2010,5,0.091,0.13,245,2,3
"01390",2011,4,0.125,0.15,409,3,3
"01390",2012,4,0.0975,0.11,409,2,3
"01430",2007,4,0,0,262,0,0
"01430",2008,4,0,0,266,0,0
"01430",2009,4,0,0,269,0,0
"01430",2010,4,0,0,332,0,0
"01430",2011,4,0,0,329,0,0
"01430",2012,4,0,0,329,0,0
"01470",2007,4,0,0,262,0,0
"01470",2008,4,0,0,266,0,0
"01470",2009,5,0,0,269,0,0
"01470",2010,4,0,0,328,0,0
"01470",2011,4,0,0,329,0,0
"01470",2012,4,0,0,329,0,0
"01480",2009,4,0.6525,0.82,383,4,5
"01480",2010,4,0.685,0.8,409,4,5
"01480",2011,4,0.455,0.57,409,3,4
"01480",2012,4,0.6675,0.86,409,4,4
"01500",2007,11,0.0375666665,0.09,262,0,3
"01500",2008,6,0.133,0.32,13,0,2
"01500",2009,12,0.00275,0.033,14,0,2
"01500",2010,4,0,0,332,0,0
"01500",2011,5,0,0,247,0,0
"01500",2012,4,0,0,329,0,0
"01510",2007,4,0,0,262,0,0
"01510",2008,1,0,0,267,0,0
"01510",2009,1,0.116,0.116,269,1,1
"01510",2010,1,0,0,332,0,0
"01510",2011,3,0.009333333,0.028,329,0,1
"01510",2012,1,0,0,334,0,0
"01550",2007,1,0,0,1,0,0
"01550",2008,1,0,0,298,0,0
"01550",2010,1,0,0,247,0,0
"01550",2012,1,0,0,247,0,0
"01580",2007,4,0,0,1,0,0
"01580",2009,2,0,0,299,0,0
"01580",2010,2,0,0,245,0,0
"01580",2011,2,0,0,247,0,0
"01580",2012,2,0,0,247,0,0
"01590",2007,6,0,0,376,0,0
"01700",2007,1,0,0,298,0,0
"01700",2008,5,0.3614,0.73,298,2,4
"01700",2009,17,0.17,0.71,299,0,6
"01700",2010,17,0.216125,0.59,247,2,5
"01700",2011,16,0.146875,0.43,409,1,4
"01700",2012,17,0.17835,0.4,334,2,4
"01750",2007,1,0,0,1,0,0
"01750",2008,4,0.01,0.02,381,0,1
"01750",2009,4,0.08,0.17,383,0,2
"01750",2010,4,0.0375,0.15,409,0,1
"01750",2011,4,0.0325,0.13,409,0,2
"01750",2012,5,0,0,247,0,0
"01800",2007,13,0.01675,0.067,262,0,1
"01800",2008,16,0.08875,0.53,266,0,4
"01800",2009,20,0.17745,0.77,269,0,7
"01800",2010,23,0.14056,0.75,247,0,5
"01800",2011,20,0.093,0.4,329,0,5
"01800",2012,23,0.084,0.33,247,0,5
"01960",2007,7,0.102142857,0.13,298,2,4
"01960",2008,4,0.1025,0.14,379,2,4
"01960",2009,4,0.0875,0.11,383,2,2
"01960",2010,4,0.0825,0.1,409,2,2
"01960",2011,4,0.055,0.08,367,0,2
"01960",2012,4,0.0625,0.11,409,1,2
"02000",2007,2,0.15,0.15,184,2,2
"02000",2009,4,0.12,0.21,228,1,3
"02000",2010,3,0.116666667,0.13,228,2,3
"02000",2011,6,0.181,0.39,12,2,4
"02000",2012,4,0.20225,0.32,239,3,6
"02100",2007,3,0.055,0.13,12,0,5
"02100",2008,3,0.0325,0.09,11,0,2
"02100",2009,5,0.0425,0.13,12,0,3
"02100",2010,4,0.0266666665,0.07,11,0,2
"02100",2011,1,0.1,0.1,43,3,3
"02100",2012,1,0,0,12,0,0
"02110",2007,4,0.0775,0.1,19,1,3
"02110",2008,4,0.09,0.16,42,1,4
"02110",2009,4,0.1075,0.22,42,2,2
"02110",2010,4,0.0575,0.09,42,1,2
"02110",2011,2,0.065,0.08,42,2,3
"02110",2012,2,0.06,0.07,42,2,2
"02120",2010,1,0.03,0.03,12,1,1
"02120",2012,1,0,0,12,0,0
"02130",2007,4,0.0125,0.05,181,0,1
"02130",2008,4,0.0073333335,0.044,234,0,1
"02130",2009,6,0.0215,0.04,234,0,1
"02130",2010,6,0.1475,1.12,231,0,1
"02130",2011,6,0.075,0.37,232,0,1
"02130",2012,7,0.0456666665,0.18,12,0,3
"02140",2007,4,0.1275,0.37,184,0,3
"02140",2009,7,0.165,0.68,228,0,3
"02140",2010,5,0.1133333335,0.24,228,0,2
"02140",2011,8,0.1066666665,0.28,12,0,2
"02140",2012,6,0.060125,0.15,239,0,5
"02200",2007,2,0,0,184,0,0
"02200",2010,2,0.03,0.04,228,1,2
"02200",2011,2,0.04,0.06,231,1,1
"02200",2012,2,0.0695,0.079,239,2,5
"02210",2007,3,0.1875,0.27,181,1,1
"02210",2008,2,0.235,0.36,234,2,6
"02210",2009,5,0.371875,1.318,234,3,4
"02210",2010,4,0.0546666665,0.078,231,0,3
"02210",2011,5,0.0975,0.18,232,0,3
"02210",2012,6,0.1855,0.4,12,2,9
"02220",2007,2,0,0,184,0,0
"02220",2010,1,0.03,0.03,228,1,1
"02220",2011,1,0.15,0.15,228,2,2
"02220",2012,1,0.042,0.042,237,3,3
"02240",2007,2,0.31,0.62,184,0,1
"02240",2009,4,0,0,228,0,0
"02240",2010,3,0,0,228,0,0
"02240",2011,6,0,0,12,0,0
"02240",2012,4,0.02475,0.066,239,0,1
"02270",2007,8,0,0,8,0,0
"02270",2010,4,0.005,0.01,228,0,1
"02270",2011,6,0,0,12,0,0
"02270",2012,4,0.019,0.038,239,0,2
"02330",2007,2,0.27,0.32,184,1,2
"02330",2008,1,1.629,1.629,236,8,8
"02330",2009,2,0.333,0.34,234,2,2
"02330",2010,4,0.205,0.32,231,2,4
"02330",2011,4,0.26,0.36,232,2,3
"02330",2012,4,0.4335,0.542,239,3,10
"02340",2007,2,0.305,0.42,184,1,3
"02340",2009,4,0.5075,0.86,228,2,4
"02340",2010,3,0.43,0.45,228,2,4
"02340",2011,6,0.427833333,0.497,12,2,5
"02340",2012,4,0.527,0.63,239,3,5
"02350",2007,3,0,0,12,0,0
"02350",2009,2,0,0,228,0,0
"02350",2010,2,0,0,228,0,0
"02350",2011,6,0.028333333,0.09,12,0,3
"02350",2012,4,0.01475,0.03,234,0,2
"02400",2007,2,5.22,5.7,184,3,9
"02400",2008,1,0.522,0.522,236,9,9
"02400",2009,3,0.234333333,0.433,234,2,4
"02400",2011,4,0.965,1.76,229,0,6
"02400",2012,2,0.4445,0.599,283,4,11
"02410",2007,2,0.155,0.18,184,2,3
"02410",2009,2,0.28,0.45,228,2,7
"02410",2010,2,0.08,0.12,228,1,2
"02410",2011,2,0.115,0.13,228,2,3
"02480",2009,2,0.105,0.14,31,2,2
"02480",2010,2,0.075,0.08,31,2,2
"02480",2011,2,0.085,0.09,112,2,3
"02490",2007,3,0.075,0.09,19,2,4
"02490",2008,3,0.06,0.08,31,1,3
"02490",2009,4,0.0616666665,0.1,31,0,2
"02490",2010,3,0.0575,0.1,31,1,2
"02490",2011,3,0.0575,0.07,31,2,2
"02500",2007,4,0.1775,0.32,184,0,2
"02500",2009,6,0.2175,0.55,228,0,4
"02500",2010,5,0.07,0.25,228,0,3
"02500",2011,6,0.1065,0.422,228,0,4
"02500",2012,6,0.15775,0.38,238,1,6
"02510",2007,2,0.035,0.04,19,1,1
"02510",2008,2,0.065,0.08,42,1,2
"02510",2009,2,0.105,0.12,42,2,2
"02510",2010,2,0.305,0.49,42,2,2
"02510",2011,2,0.045,0.05,42,1,1
"02590",2007,1,0.04,0.04,99,1,1
"02590",2008,1,0.1,0.1,32,1,1
"02590",2009,1,0.01,0.01,32,1,1
"02590",2010,1,0.21,0.21,32,2,2
"02590",2011,1,0.01,0.01,32,1,1
"02600",2007,4,0,0,184,0,0
"02600",2009,4,0,0,228,0,0
"02600",2010,4,0.00833333333333333,0.05,228,0,2
"02600",2011,4,0,0,228,0,0
"02600",2012,4,0.0035,0.007,12,0,2
"02640",2008,1,0.08,0.08,31,3,3
"02640",2009,1,0.02,0.02,31,1,1
"02640",2010,1,0.02,0.02,31,1,1
"02640",2011,1,0,0,31,0,0
"02800",2007,1,0,0,184,0,0
"02800",2009,1,0,0,231,0,0
"02800",2010,2,0,0,12,0,0
"02800",2011,1,0.79,0.79,228,2,2
"02800",2012,2,0.015,0.03,12,0,1
"02810",2007,1,0.12,0.12,184,1,1
"02810",2008,1,0.145,0.145,236,3,3
"02810",2009,4,0.13425,0.143,234,2,2
"02810",2010,1,0.07,0.07,233,1,1
"02810",2011,1,0.06,0.06,232,1,1
"02810",2012,2,0.1,0.1,12,1,2
"02830",2007,2,0.26,0.35,184,1,2
"02830",2009,4,0.575,0.74,228,2,3
"02830",2010,4,0.3375,0.63,228,1,2
"02830",2011,3,0.436666667,0.55,228,2,4
"02830",2012,4,0.233,0.24,239,3,5
"02860",2007,2,0.87,1.07,184,2,2
"02860",2009,4,1.185,1.38,228,3,4
"02860",2010,3,0.993333333,1.07,228,3,4
"02860",2011,5,0.958,1.36,228,0,3
"02860",2012,3,1.001,1.169,239,5,8
"02870",2007,2,0.1,0.13,184,1,1
"02870",2010,1,0,0,228,0,0
"03110",2007,1,0,0,274,0,0
"03110",2008,2,0,0,272,0,0
"03110",2009,2,0,0,272,0,0
"03110",2010,2,0,0,271,0,0
"03110",2011,2,0,0,334,0,0
"03110",2012,2,0,0,279,0,0
"03120",2007,2,0.005,0.01,271,0,1
"03120",2008,2,0,0,272,0,0
"03120",2009,2,0,0,272,0,0
"03120",2010,2,0,0,271,0,0
"03120",2011,2,0,0,279,0,0
"03120",2012,2,0,0,279,0,0
"03190",2007,4,0,0,271,0,0
"03190",2008,6,0,0,272,0,0
"03190",2009,10,0,0,272,0,0
"03190",2010,8,0.00875,0.07,271,0,1
"03190",2011,8,0.005625,0.023,278,0,1
"03190",2012,8,0,0,279,0,0
"03200",2007,3,0.026666667,0.08,271,0,1
"03200",2008,2,0,0,272,0,0
"03200",2009,3,0.005666667,0.017,272,0,7
"03200",2010,3,0,0,221,0,0
"03200",2011,3,0,0,222,0,0
"03200",2012,3,0.026333333,0.079,223,0,4
"03210",2007,2,0.065,0.13,271,0,1
"03210",2008,2,0,0,272,0,0
"03210",2009,2,0.055,0.11,272,0,1
"03210",2010,2,0,0,271,0,0
"03210",2011,2,0,0,279,0,0
"03210",2012,2,0,0,279,0,0
"03230",2012,1,0.198,0.198,281,4,4
"03250",2007,4,0,0,271,0,0
"03250",2008,4,0,0,272,0,0
"03250",2009,4,0,0,272,0,0
"03250",2010,4,0,0,271,0,0
"03250",2011,4,0.07725,0.309,279,0,1
"03250",2012,4,0,0,279,0,0
"03290",2012,1,0,0,281,0,0
"03330",2007,2,0.025,0.05,271,0,1
"03330",2008,2,0,0,272,0,0
"03330",2009,2,0.02,0.04,272,0,1
"03330",2010,2,0,0,271,0,0
"03330",2011,2,0.07,0.14,334,0,3
"03330",2012,2,0,0,279,0,0
"03340",2007,4,0.16,0.47,271,0,1
"03340",2008,4,0.4575,0.96,272,0,4
"03340",2009,4,0.515,1.16,272,0,5
"03340",2010,4,0.3925,0.84,271,0,3
"03340",2011,4,0.34775,0.86,279,0,5
"03340",2012,5,0.750333333333333,1.457,279,4,6
"03360",2007,8,0.00222222233333333,0.02,2,0,1
"03360",2008,6,0,0,176,0,0
"03360",2009,8,0,0,176,0,0
