annee;code_postal_acheteur;amm;substance;cas;quantite_substance;classification;classification_mention;achat_etranger
2018;20000;2010023;deltamethrine;52918-63-5;0.585;T, T+, CMR;;Non
2018;20000;2010130;cuivre de l'oxyde cuivreux;1317-39-1;7.5;N minéral;;Non
2018;20000;2010441;huile de vaseline;8042-47-5;16.34;Autre;;Non
2018;20000;2050046;flonicamide;158062-67-0;1.0;Autre;;Non
2018;20000;2080038;pyrethrines;8003-34-7;0.186;N Organique;;Non
2018;20000;2090116;glyphosate;1071-83-6;1.8;N Organique;;Non
2018;20000;2090164;glyphosate;1071-83-6;0.36;N Organique;;Non
2018;20000;2120034;glyphosate;1071-83-6;134.4;N Organique;;Non
2018;20000;2120086;chlorpyriphos-methyl;5598-13-0;18.0;N Organique;;Non
2018;20000;2120159;thirame;137-26-8;0.019512;N Organique;;Non
2018;20000;2130115;1,5-diaminopentane;462-94-2;0.002;Autre;;Non
2018;20000;2130115;acetate d'ammonium;631-61-8;0.4875;Autre;;Non
2018;20000;2130115;deltamethrine;52918-63-5;0.00095;T, T+, CMR;;Non
2018;20000;2130115;trimethylamine hydrochloride;593-81-7;0.002;Autre;;Non
2018;20000;2130212;phosmet;732-11-6;2.5;N Organique;;Non
2018;20000;2150104;huile de vaseline;8042-47-5;98.04;Autre;;Non
2018;20000;9000471;glufosinate ammonium;77182-82-2;4.5;T, T+, CMR;;Non
2018;20000;9000490;cycloxydime;101205-02-1;1.5;T, T+, CMR;;Non
2018;20000;9100296;2,4-d;94-75-7;84.0;N Organique;;Non
2018;20000;9200482;bacillus thuringiensis ssp kurstaki souche sa-11;68038-71-1;2.55;Autre;;Non
2018;20000;9300504;huile de vaseline;8042-47-5;196.08;Autre;;Non
2018;20000;9600025;fosetyl-aluminium;39148-24-8;33.6;Autre;;Non
2018;20000;9800245;soufre pour pulverisation (micronise);7704-34-9;16.0;Autre;;Non
2018;20000;9800336;lambda-cyhalothrine;91465-08-6;0.5;T, T+, CMR;;Non
2018;20000;9800474;cuivre du sulfate de cuivre;8011-63-0;6.0;N minéral;;Non
2018;20000;9900354;cuivre de l'hydroxyde de cuivre;20427-59-2;3.5;T, T+, CMR;;Non
2018;20090;2000517;cuivre de l'hydroxyde de cuivre;20427-59-2;27.0;T, T+, CMR;;Non
2018;20090;2010023;deltamethrine;52918-63-5;0.195;T, T+, CMR;;Non
2018;20090;2010513;bacillus thuringiensis ssp kurstaki;68038-71-1;;Autre;;Non
2018;20090;2020241;bacillus thuringiensis serotype h 7;68038-71-1;2.16;Autre;;Non
2018;20090;2060133;thiaclopride;111988-49-9;0.48;T, T+, CMR;;Non
2018;20090;2070107;fosetyl;15845-66-6;3.1;Autre;;Non
2018;20090;2070107;propamocarbe;25606-41-1;5.3;Autre;;Non
2018;20090;2090082;imidaclopride;138261-41-3;2.2;N Organique;;Non
2018;20090;2090116;glyphosate;1071-83-6;10.8;N Organique;;Non
2018;20090;2090127;huile essentielle d'orange douce;8028-48-6;2.4;N Organique;;Non
2018;20090;2090160;glyphosate;1071-83-6;43.2;N Organique;;Non
2018;20090;2100122;chlorantraniliprole;500008-45-7;0.42;N Organique;;Non
2018;20090;2120048;aminopyralid;150114-71-9;0.06;N Organique;;Non
2018;20090;2120048;triclopyr;55335-06-3;0.48;N Organique;;Non
2018;20090;2120171;fosetyl-aluminium;39148-24-8;1.6;Autre;;Non
2018;20090;2140085;abamectine;71751-41-2;0.018;T, T+, CMR;;Non
2018;20090;2140121;acide pelargonique;112-05-0;0.23759;Autre;;Non
2018;20090;7700216;soufre pour pulverisation (micronise);7704-34-9;214.5;Autre;;Non
2018;20090;8500194;tau-fluvalinate;102851-06-9;0.24;N Organique;;Non
2018;20090;8600243;aclonifen;74070-46-5;6.0;T, T+, CMR;;Non
2018;20090;8900681;pendimethaline;40487-42-1;2.0;N Organique;;Non
2018;20090;9300504;huile de vaseline;8042-47-5;16.34;Autre;;Non
2018;20090;9500452;cuivre du sulfate de cuivre;8011-63-0;24.0;N minéral;;Non
2018;20090;9600398;kresoxim-methyl;143390-89-0;0.15;T, T+, CMR;;Non
2018;20090;9700332;azoxystrobine;131860-33-8;0.25;T, T+, CMR;;Non
2018;20090;9800336;lambda-cyhalothrine;91465-08-6;0.4;T, T+, CMR;;Non
2018;20090;9800474;cuivre du sulfate de cuivre;8011-63-0;3.0;N minéral;;Non
2018;20090;9900227;cuivre de l'hydroxyde de cuivre;20427-59-2;2.0;T, T+, CMR;;Non
2018;20090;9900242;mancozebe;8018-01-7;7.5;T, T+, CMR;;Non
2018;20100;2000018;soufre pour pulverisation (micronise);7704-34-9;416.0;Autre;;Non
