annee;code_postal_acheteur;amm;substance;cas;quantite_substance;classification;classification_mention;achat_etranger
2015;97100;2120118;2,4-d;94-75-7;0.348;N Organique;;Non
2015;97100;2120118;triclopyr;55335-06-3;0.3882;N Organique;;Non
2015;97118;2060050;metrafenone;220899-03-6;0.08;N Organique;;Non
2015;97118;2080129;meptyldinocap;131-72-6;0.5495;N Organique;;Non
2015;97118;2090126;cyazofamide;120116-88-3;0.07825;N Organique;;Non
2015;97118;2090126;phosphonate de disodium;13708-85-5;0.7825;N minéral;;Non
2015;97118;2090132;cuivre du sulfate tribasique;12527-76-3;0.250604;N minéral;;Non
2015;97118;2090132;zoxamide;156052-68-5;0.0376;N Organique;;Non
2015;97118;2110147;fludioxonil;131341-86-1;0.315;N Organique;;Non
2015;97118;8700542;cymoxanil;57966-95-7;0.07536;N Organique;;Non
2015;97118;8700542;folpel;133-07-3;0.7536;T, T+, CMR;;Non
2015;97118;9000222;soufre;7704-34-9;6.58;Autre;;Non
2015;97118;9000471;glufosinate ammonium;77182-82-2;0.75;T, T+, CMR;;Non
2015;97118;9800054;cymoxanil;57966-95-7;0.150588;N Organique;;Non
2015;97118;9800054;fosetyl-aluminium;39148-24-8;1.87812;Autre;;Non
2015;97118;9800054;mancozebe;8018-01-7;1.87812;T, T+, CMR;;Non
2015;97118;9800420;spiroxamine;118134-30-8;0.315;N Organique;;Non
2015;97118;9900081;mepanipyrim;110235-47-7;0.19;T, T+, CMR;;Non
2015;97160;9800474;cuivre du sulfate de cuivre;8011-63-0;195.0;N minéral;;Non
