annee;code_postal_acheteur;amm;substance;cas;quantite_substance;classification;classification_mention;achat_etranger
2015;97400;2000079;cypermethrine;52315-07-8;0.1;N Organique;;Non
2015;97400;2000228;metaldehyde;108-62-3;0.06;Autre;;Non
2015;97400;2000517;cuivre de l'hydroxyde de cuivre;20427-59-2;0.36;T, T+, CMR;;Non
2015;97400;2000519;2,4-d;94-75-7;12.0;N Organique;;Non
2015;97400;2010023;deltamethrine;52918-63-5;0.09;T, T+, CMR;;Non
2015;97400;2010282;cypermethrine;52315-07-8;0.6;N Organique;;Non
2015;97400;2010509;cuivre du sulfate de cuivre;8011-63-0;4.0;N minéral;;Non
2015;97400;2060088;benoxacor;98730-04-2;0.9;Autre;;Non
2015;97400;2060088;mesotrione;104206-82-8;1.8;N Organique;;Non
2015;97400;2060088;s-metolachlore;87392-12-9;18.0;N Organique;;Non
2015;97400;2060130;spinosad;168316-95-8;0.00024;N Organique;;Non
2015;97400;2080101;acetamipride;135410-20-7;0.6;N Organique;;Non
2015;97400;2100140;clodinafop-propargyl;105512-06-9;0.675;N Organique;;Non
2015;97400;2100140;cloquintocet-mexyl;99607-70-2;0.16875;Autre;;Non
2015;97400;2100140;pinoxaden;243973-20-8;0.675;T, T+, CMR;;Non
2015;97400;2120034;glyphosate;1071-83-6;19.2;N Organique;;Non
2015;97400;2130106;metaldehyde;108-62-3;0.024;Autre;;Non
2015;97400;2140085;abamectine;71751-41-2;0.072;T, T+, CMR;;Non
2015;97400;7700788;bromadiolone;28772-56-7;0.000225;T, T+, CMR;;Non
2015;97400;8400600;fluroxypyr;69377-81-7;3.6;N Organique;;Non
2015;97400;8800395;lambda-cyhalothrine;91465-08-6;0.005;T, T+, CMR;;Non
2015;97400;8800395;pyrimicarbe;23103-98-2;0.1;T, T+, CMR;;Non
2015;97400;8800841;difenoconazole;119446-68-3;0.125;N Organique;;Non
2015;97400;9000471;glufosinate ammonium;77182-82-2;11.1;T, T+, CMR;;Non
2015;97400;9100231;metaldehyde;108-62-3;0.06;Autre;;Non
2015;97400;9400286;glyphosate;1071-83-6;3.6;N Organique;;Non
2015;97400;9400525;glyphosate;1071-83-6;7.2;N Organique;;Non
2015;97400;9500432;acrinathrine;101007-06-1;0.15;N Organique;;Non
2015;97400;9700332;azoxystrobine;131860-33-8;1.0;T, T+, CMR;;Non
2015;97400;9700354;metribuzine;21087-64-9;4.2;N Organique;;Non
2015;97400;9800336;lambda-cyhalothrine;91465-08-6;0.725;T, T+, CMR;;Non
2015;97400;9900331;chlorothalonil;1897-45-6;0.5;T, T+, CMR;;Non
2015;97400;9900331;metalaxyl-m;70630-17-0;0.0363;Autre;;Non
2015;97410;2000018;soufre pour pulverisation (micronise);7704-34-9;608.0;Autre;;Non
2015;97410;2000044;fluazifop-p-butyl;79241-46-6;12.5;T, T+, CMR;;Non
2015;97410;2000202;glyphosate;1071-83-6;50.4;N Organique;;Non
2015;97410;2000228;metaldehyde;108-62-3;0.12;Autre;;Non
2015;97410;2000299;clomazone;81777-89-1;2.16;N Organique;;Non
2015;97410;2000442;mancozebe;8018-01-7;38.4;T, T+, CMR;;Non
2015;97410;2000517;cuivre de l'hydroxyde de cuivre;20427-59-2;257.04;T, T+, CMR;;Non
2015;97410;2000519;2,4-d;94-75-7;267.0;N Organique;;Non
2015;97410;2010023;deltamethrine;52918-63-5;9.09;T, T+, CMR;;Non
2015;97410;2010130;cuivre de l'oxyde cuivreux;1317-39-1;45.0;N minéral;;Non
2015;97410;2010132;pymetrozine;123312-89-0;21.0;T, T+, CMR;;Non
2015;97410;2010282;cypermethrine;52315-07-8;74.3;N Organique;;Non
2015;97410;2010332;myclobutanil;88671-89-0;16.56;T, T+, CMR;;Non
2015;97410;2010441;huile de vaseline;8042-47-5;49.02;Autre;;Non
2015;97410;2010509;cuivre du sulfate de cuivre;8011-63-0;88.0;N minéral;;Non
2015;97410;2010513;bacillus thuringiensis serotype 3a 3b;68038-71-1;;Autre;;Non
2015;97410;2010525;metribuzine;21087-64-9;0.7;N Organique;;Non
2015;97410;2010602;cymoxanil;57966-95-7;41.28;N Organique;;Non
2015;97410;2010602;mancozebe;8018-01-7;479.88;T, T+, CMR;;Non
2015;97410;2020145;metribuzine;21087-64-9;1440.6;N Organique;;Non
2015;97410;2020226;clethodime;99129-21-2;0.12;N Organique;;Non
2015;97410;2020474;metazachlore;67129-08-2;7.5;T, T+, CMR;;Non
2015;97410;2030136;glyphosate;1071-83-6;169.2;N Organique;;Non
2015;97410;2030255;tebuconazole;107534-96-3;38.75;T, T+, CMR;;Non
2015;97410;2030404;pendimethaline;40487-42-1;804.4;N Organique;;Non
2015;97410;2040199;metamitrone;41394-05-2;0.7;N Organique;;Non
2015;97410;2040330;cymoxanil;57966-95-7;0.8;N Organique;;Non
2015;97410;2040330;mancozebe;8018-01-7;9.3;T, T+, CMR;;Non
2015;97410;2050046;flonicamide;158062-67-0;28.0;Autre;;Non
2015;97410;2060002;difenoconazole;119446-68-3;37.75;N Organique;;Non
2015;97410;2060050;metrafenone;220899-03-6;15.5;N Organique;;Non
2015;97410;2060084;boscalid;188425-85-6;4.005;N Organique;;Non
2015;97410;2060084;pyraclostrobine;175013-18-0;1.005;T, T+, CMR;;Non
2015;97410;2060088;benoxacor;98730-04-2;118.1;Autre;;Non
2015;97410;2060088;mesotrione;104206-82-8;236.2;N Organique;;Non
2015;97410;2060088;s-metolachlore;87392-12-9;2362.0;N Organique;;Non
2015;97410;2060096;trifloxystrobine;141517-21-7;3.65;N Organique;;Non
2015;97410;2060098;spinosad;168316-95-8;76.368;N Organique;;Non
2015;97410;2060113;bifenazate;149877-41-8;2.46;N Organique;;Non
2015;97410;2060119;metsulfuron-methyl;74223-64-6;0.072;N Organique;;Non
2015;97410;2060130;spinosad;168316-95-8;0.00432;N Organique;;Non
2015;97410;2060133;thiaclopride;111988-49-9;7.2;T, T+, CMR;;Non
2015;97410;2070107;fosetyl;15845-66-6;32.24;Autre;;Non
2015;97410;2070107;propamocarbe;25606-41-1;55.12;Autre;;Non
2015;97410;2080060;pyriproxyfene;95737-68-1;10.4;N Organique;;Non
2015;97410;2080089;thiaclopride;111988-49-9;0.000135;T, T+, CMR;;Non
2015;97410;2080101;acetamipride;135410-20-7;59.2;N Organique;;Non
2015;97410;2080102;azoxystrobine;131860-33-8;0.1;T, T+, CMR;;Non
2015;97410;2080102;difenoconazole;119446-68-3;0.0625;N Organique;;Non
2015;97410;2080105;glyphosate;1071-83-6;5.4;N Organique;;Non
2015;97410;2080114;cymoxanil;57966-95-7;15.0;N Organique;;Non
2015;97410;2080114;propamocarbe;25606-41-1;120.0;Autre;;Non
2015;97410;2080129;meptyldinocap;131-72-6;1.05;N Organique;;Non
2015;97410;2080136;pyridate;55512-33-9;18.45;N Organique;;Non
2015;97410;2090037;dicamba;1918-00-9;50.0;N Organique;;Non
2015;97410;2090037;prosulfuron;94125-34-5;5.0;N Organique;;Non
2015;97410;2090082;imidaclopride;138261-41-3;4.6;N Organique;;Non
2015;97410;2090090;thiamethoxam;153719-23-4;0.14;N Organique;;Non
2015;97410;2090091;thiamethoxam;153719-23-4;2.0;N Organique;;Non
2015;97410;2090094;thiophanate-methyl;23564-05-8;186.56;T, T+, CMR;;Non
2015;97410;2090127;huile essentielle d'orange douce;8028-48-6;3.9;N Organique;;Non
2015;97410;2090136;fluopicolide;239110-15-7;95.625;N Organique;;Non
2015;97410;2090136;propamocarbe;25606-41-1;956.25;Autre;;Non
2015;97410;2090163;glyphosate;1071-83-6;40.5;N Organique;;Non
2015;97410;2100026;cypermethrine;52315-07-8;73.0;N Organique;;Non
2015;97410;2100030;phosphate ferrique;10045-86-0;5.94;Autre;;Non
2015;97410;2100071;glyphosate;1071-83-6;7.2;N Organique;;Non
2015;97410;2100082;fluroxypyr;69377-81-7;224.0;N Organique;;Non
2015;97410;2100111;mesotrione;104206-82-8;1.125;N Organique;;Non
2015;97410;2100111;nicosulfuron;111991-09-4;0.45;N Organique;;Non
2015;97410;2100122;chlorantraniliprole;500008-45-7;0.735;N Organique;;Non
2015;97410;2100154;chlorpyriphos-ethyl;2921-88-2;647.5;T, T+, CMR;;Non
2015;97410;2100154;cypermethrine;52315-07-8;64.75;N Organique;;Non
2015;97410;2100212;tebuconazole;107534-96-3;6.0;T, T+, CMR;;Non
2015;97410;2100212;trifloxystrobine;141517-21-7;3.0;N Organique;;Non
2015;97410;2100231;emamectine benzoate;155569-91-8;0.057;T, T+, CMR;;Non
2015;97410;2110012;cyazofamide;120116-88-3;7.36;N Organique;;Non
2015;97410;2110073;indoxacarbe;173584-44-6;0.0375;T, T+, CMR;;Non
2015;97410;2110086;spirotetramat;203313-25-1;2.2;T, T+, CMR;;Non
2015;97410;2110115;cypermethrine;52315-07-8;9.3;N Organique;;Non
2015;97410;2110141;dimethomorphe;110488-70-5;4.32;N Organique;;Non
2015;97410;2110141;pyraclostrobine;175013-18-0;2.4;T, T+, CMR;;Non
2015;97410;2110143;metribuzine;21087-64-9;13.2;N Organique;;Non
2015;97410;2110163;diquat;85-00-7;1.0;T, T+, CMR;;Non
2015;97410;2120008;glyphosate;1071-83-6;0.36;N Organique;;Non
2015;97410;2120034;glyphosate;1071-83-6;379.2;N Organique;;Non
2015;97410;2120048;aminopyralid;150114-71-9;16.92;N Organique;;Non
2015;97410;2120048;triclopyr;55335-06-3;135.36;N Organique;;Non
2015;97410;2120086;chlorpyriphos-methyl;5598-13-0;2.25;N Organique;;Non
2015;97410;2130043;iprodione;36734-19-7;0.5;T, T+, CMR;;Non
2015;97410;2130075;metaldehyde;108-62-3;19.6;Autre;;Non
2015;97410;2130079;cyflufenamid;180409-60-3;0.65;N Organique;;Non
2015;97410;2130095;abamectine;71751-41-2;0.234;T, T+, CMR;;Non
2015;97410;2130115;1,5-diaminopentane;462-94-2;0.00352;Autre;;Non
2015;97410;2130115;acetate d'ammonium;631-61-8;0.858;Autre;;Non
2015;97410;2130115;deltamethrine;52918-63-5;0.001672;T, T+, CMR;;Non
2015;97410;2130115;trimethylamine hydrochloride;593-81-7;0.00352;Autre;;Non
2015;97410;2130190;desmediphame;13684-56-5;0.94;N Organique;;Non
2015;97410;2130190;ethofumesate;26225-79-6;1.5;N Organique;;Non
2015;97410;2130190;lenacile;2164-08-1;0.54;N Organique;;Non
2015;97410;2130190;phenmediphame;13684-63-4;1.2;N Organique;;Non
2015;97410;2130201;fosetyl-aluminium;39148-24-8;124.0;Autre;;Non
2015;97410;2130212;phosmet;732-11-6;2.5;N Organique;;Non
2015;97410;2130251;lambda-cyhalothrine;91465-08-6;6.5;T, T+, CMR;;Non
2015;97410;2130253;2,4-d;94-75-7;288.0;N Organique;;Non
2015;97410;2130253;glyphosate;1071-83-6;432.0;N Organique;;Non
2015;97410;2140085;abamectine;71751-41-2;16.038;T, T+, CMR;;Non
2015;97410;2140244;metribuzine;21087-64-9;506.8;N Organique;;Non
2015;97410;5100219;soufre sublime;7704-34-9;668.25;Autre;;Non
2015;97410;6500402;2,4-d;94-75-7;3369.6;N Organique;;Non
2015;97410;6900313;asulame;2302-17-2;56.0;Autre;;Non
2015;97410;7000391;ioxynil octanoate;3861-47-0;0.9;T, T+, CMR;;Non
2015;97410;7500569;pyrimicarbe;23103-98-2;15.0;T, T+, CMR;;Non
2015;97410;7500716;cuivre du sulfate de cuivre;8011-63-0;97.0;N minéral;;Non
2015;97410;7600008;bupirimate;41483-43-6;72.0;N Organique;;Non
2015;97410;7700078;diquat;85-00-7;240.0;T, T+, CMR;;Non
2015;97410;8100006;clopyralid;1702-17-6;0.3;Autre;;Non
2015;97410;8100006;triclopyr;55335-06-3;1.2;N Organique;;Non
2015;97410;8100283;linuron;330-55-2;72.0;T, T+, CMR;;Non
2015;97410;8300025;penconazole;66246-88-6;6.9;N Organique;;Non
2015;97410;8300243;chlorothalonil;1897-45-6;60.0;T, T+, CMR;;Non
2015;97410;8300270;chlorothalonil;1897-45-6;190.0;T, T+, CMR;;Non
2015;97410;8300429;alphamethrine;67375-30-8;3.3;T, T+, CMR;;Non
2015;97410;8400096;dicamba;1918-00-9;10.08;N Organique;;Non
2015;97410;8400600;fluroxypyr;69377-81-7;81.0;N Organique;;Non
2015;97410;8500174;abamectine;71751-41-2;4.95;T, T+, CMR;;Non
2015;97410;8600243;aclonifen;74070-46-5;24.0;T, T+, CMR;;Non
2015;97410;8700177;mancozebe;8018-01-7;20.0;T, T+, CMR;;Non
2015;97410;8700702;mancozebe;8018-01-7;540.0;T, T+, CMR;;Non
2015;97410;8800006;dimethoate;60-51-5;190.0;Autre;;Non
2015;97410;8800395;lambda-cyhalothrine;91465-08-6;0.67;T, T+, CMR;;Non
2015;97410;8800395;pyrimicarbe;23103-98-2;13.4;T, T+, CMR;;Non
2015;97410;8800498;acide alpha naphtylacetique (ana);86-87-3;0.0473;N Organique;;Non
2015;97410;8800498;alpha naphtyl acetamide (nad);86-86-2;0.1298;N Organique;;Non
2015;97410;8800841;difenoconazole;119446-68-3;10.75;N Organique;;Non
2015;97410;8900677;benalaxyl;71626-11-4;1.666;N Organique;;Non
2015;97410;8900677;mancozebe;8018-01-7;13.0;T, T+, CMR;;Non
2015;97410;8900681;pendimethaline;40487-42-1;88.0;N Organique;;Non
2015;97410;9000471;glufosinate ammonium;77182-82-2;40.5;T, T+, CMR;;Non
2015;97410;9100231;metaldehyde;108-62-3;0.145;Autre;;Non
2015;97410;9100296;2,4-d;94-75-7;312.0;N Organique;;Non
2015;97410;9100505;glyphosate;1071-83-6;2665.8;N Organique;;Non
2015;97410;9100525;tebufenpyrad;119168-77-3;0.2;T, T+, CMR;;Non
2015;97410;9200159;pyrimethanil;53112-28-0;76.8;N Organique;;Non
2015;97410;9200215;cymoxanil;57966-95-7;1.44;N Organique;;Non
2015;97410;9200215;metirame-zinc;9006-42-2;19.2;N Organique;;Non
2015;97410;9200262;iprodione;36734-19-7;488.0;T, T+, CMR;;Non
2015;97410;9200313;fenazaquin;120928-09-8;8.2;T, T+, CMR;;Non
