annee;code_postal_acheteur;amm;substance;cas;quantite_substance;classification;classification_mention;achat_etranger
2018;97200;2000044;fluazifop-p-butyl;79241-46-6;2.25;T, T+, CMR;;Non
2018;97200;2000202;glyphosate;1071-83-6;225.0;N Organique;;Non
2018;97200;2000519;2,4-d;94-75-7;75.0;N Organique;;Non
2018;97200;2010132;pymetrozine;123312-89-0;0.625;T, T+, CMR;;Non
2018;97200;2010513;bacillus thuringiensis ssp kurstaki;68038-71-1;;Autre;;Non
2018;97200;2010618;cuivre du sulfate de cuivre;8011-63-0;0.144;N minéral;;Non
2018;97200;2050046;flonicamide;158062-67-0;0.25;Autre;;Non
2018;97200;2060084;boscalid;188425-85-6;0.267;N Organique;;Non
2018;97200;2060084;pyraclostrobine;175013-18-0;0.067;T, T+, CMR;;Non
2018;97200;2080101;acetamipride;135410-20-7;1.4;N Organique;;Non
2018;97200;2090094;thiophanate-methyl;23564-05-8;17.6;T, T+, CMR;;Non
2018;97200;2090127;huile essentielle d'orange douce;8028-48-6;0.18;N Organique;;Non
2018;97200;2100231;emamectine benzoate;155569-91-8;0.1045;T, T+, CMR;;Non
2018;97200;2110012;cyazofamide;120116-88-3;2.72;N Organique;;Non
2018;97200;2110198;glyphosate;1071-83-6;90.0;N Organique;;Non
2018;97200;2120008;glyphosate;1071-83-6;20.16;N Organique;;Non
2018;97200;2130075;metaldehyde;108-62-3;3.8;Autre;;Non
2018;97200;2130088;metaldehyde;108-62-3;0.8;Autre;;Non
2018;97200;2140085;abamectine;71751-41-2;0.126;T, T+, CMR;;Non
2018;97200;2150969;phosphate ferrique;10045-86-0;0.0225;Autre;;Non
2018;97200;2160487;2,4-d;94-75-7;1.86;N Organique;;Non
2018;97200;2160487;triclopyr;55335-06-3;2.072;N Organique;;Non
2018;97200;6300001;mancozebe;8018-01-7;17.6;T, T+, CMR;;Non
2018;97200;8500174;abamectine;71751-41-2;0.1575;T, T+, CMR;;Non
2018;97200;8800395;lambda-cyhalothrine;91465-08-6;0.15;T, T+, CMR;;Non
2018;97200;8800395;pyrimicarbe;23103-98-2;3.0;T, T+, CMR;;Non
2018;97200;8900681;pendimethaline;40487-42-1;4.0;N Organique;;Non
2018;97200;9300504;huile de vaseline;8042-47-5;8.17;Autre;;Non
2018;97200;9600199;fosthiazate;98886-44-3;6.0;T, T+, CMR;;Non
2018;97200;9700332;azoxystrobine;131860-33-8;4.5;T, T+, CMR;;Non
2018;97200;9800144;indoxacarbe;173584-44-6;0.075;T, T+, CMR;;Non
2018;97200;9800182;s-metolachlore;87392-12-9;4.8;N Organique;;Non
2018;97200;9800336;lambda-cyhalothrine;91465-08-6;2.075;T, T+, CMR;;Non
2018;97200;9900242;mancozebe;8018-01-7;61.5;T, T+, CMR;;Non
2018;97200;9900257;cuivre du sulfate de cuivre;8011-63-0;0.96;N minéral;;Non
2018;97211;2000044;fluazifop-p-butyl;79241-46-6;1.0;T, T+, CMR;;Non
2018;97211;2000202;glyphosate;1071-83-6;52.2;N Organique;;Non
2018;97211;2000519;2,4-d;94-75-7;162.0;N Organique;;Non
2018;97211;2010132;pymetrozine;123312-89-0;0.125;T, T+, CMR;;Non
2018;97211;2010513;bacillus thuringiensis ssp kurstaki;68038-71-1;;Autre;;Non
2018;97211;2060088;benoxacor;98730-04-2;0.3;Autre;;Non
2018;97211;2060088;mesotrione;104206-82-8;0.6;N Organique;;Non
2018;97211;2060088;s-metolachlore;87392-12-9;6.0;N Organique;;Non
2018;97211;2080060;pyriproxyfene;95737-68-1;0.3;N Organique;;Non
2018;97211;2100231;emamectine benzoate;155569-91-8;0.0095;T, T+, CMR;;Non
2018;97211;2110198;glyphosate;1071-83-6;50.4;N Organique;;Non
2018;97211;2120008;glyphosate;1071-83-6;18.72;N Organique;;Non
2018;97211;2130075;metaldehyde;108-62-3;0.2;Autre;;Non
2018;97211;2140085;abamectine;71751-41-2;0.198;T, T+, CMR;;Non
2018;97211;7700078;diquat;85-00-7;4.0;T, T+, CMR;;Non
2018;97211;8400574;propyzamide;23950-58-5;2.0;T, T+, CMR;;Non
2018;97211;8500174;abamectine;71751-41-2;0.072;T, T+, CMR;;Non
2018;97211;9900047;mesotrione;104206-82-8;2.5;N Organique;;Non
2018;97211;9900242;mancozebe;8018-01-7;1.5;T, T+, CMR;;Non
2018;97212;2000044;fluazifop-p-butyl;79241-46-6;0.125;T, T+, CMR;;Non
2018;97212;2000202;glyphosate;1071-83-6;36.0;N Organique;;Non
2018;97212;2000519;2,4-d;94-75-7;3.0;N Organique;;Non
2018;97212;2090146;abamectine;71751-41-2;1.5e-05;T, T+, CMR;;Non
2018;97212;2090146;pyrethrines;8003-34-7;0.0002;N Organique;;Non
2018;97212;2100231;emamectine benzoate;155569-91-8;0.0095;T, T+, CMR;;Non
2018;97212;2110198;glyphosate;1071-83-6;48.6;N Organique;;Non
2018;97212;2120008;glyphosate;1071-83-6;2.16;N Organique;;Non
2018;97212;2130075;metaldehyde;108-62-3;0.8;Autre;;Non
2018;97212;2140085;abamectine;71751-41-2;0.018;T, T+, CMR;;Non
2018;97212;2140255;acide pelargonique;112-05-0;2.04;Autre;;Non
2018;97212;6300001;mancozebe;8018-01-7;0.8;T, T+, CMR;;Non
2018;97212;8500174;abamectine;71751-41-2;0.0045;T, T+, CMR;;Non
2018;97212;9300504;huile de vaseline;8042-47-5;4.902;Autre;;Non
2018;97212;9800336;lambda-cyhalothrine;91465-08-6;0.05;T, T+, CMR;;Non
2018;97212;9800402;huile de vaseline;8042-47-5;0.3268;Autre;;Non
2018;97212;9900242;mancozebe;8018-01-7;0.75;T, T+, CMR;;Non
2018;97212;9900257;cuivre du sulfate de cuivre;8011-63-0;0.16;N minéral;;Non
2018;97213;2000044;fluazifop-p-butyl;79241-46-6;4.25;T, T+, CMR;;Non
2018;97213;2000202;glyphosate;1071-83-6;351.0;N Organique;;Non
2018;97213;2000519;2,4-d;94-75-7;75.0;N Organique;;Non
2018;97213;2060088;benoxacor;98730-04-2;3.7;Autre;;Non
2018;97213;2060088;mesotrione;104206-82-8;7.4;N Organique;;Non
2018;97213;2060088;s-metolachlore;87392-12-9;74.0;N Organique;;Non
2018;97213;2080101;acetamipride;135410-20-7;0.2;N Organique;;Non
2018;97213;2090127;huile essentielle d'orange douce;8028-48-6;0.12;N Organique;;Non
2018;97213;2100231;emamectine benzoate;155569-91-8;0.019;T, T+, CMR;;Non
2018;97213;2110012;cyazofamide;120116-88-3;0.8;N Organique;;Non
2018;97213;2110198;glyphosate;1071-83-6;115.2;N Organique;;Non
2018;97213;2120008;glyphosate;1071-83-6;125.28;N Organique;;Non
2018;97213;2120133;fluroxypyr;69377-81-7;0.0026;N Organique;;Non
2018;97213;2120133;triclopyr;55335-06-3;0.0078;N Organique;;Non
2018;97213;2130075;metaldehyde;108-62-3;0.2;Autre;;Non
2018;97213;2130088;metaldehyde;108-62-3;0.1575;Autre;;Non
2018;97213;2140085;abamectine;71751-41-2;0.018;T, T+, CMR;;Non
2018;97213;2140121;acide pelargonique;112-05-0;0.308867;Autre;;Non
2018;97213;6300001;mancozebe;8018-01-7;1.6;T, T+, CMR;;Non
2018;97213;7700078;diquat;85-00-7;26.0;T, T+, CMR;;Non
2018;97213;8500174;abamectine;71751-41-2;0.0405;T, T+, CMR;;Non
