annee;code_postal_acheteur;amm;substance;cas;quantite_substance;classification;classification_mention;achat_etranger
2017;97600;7400057;glyphosate;1071-83-6;28.8;N Organique;;Non
2017;97680;2050046;flonicamide;158062-67-0;1.5;Autre;;Non
2017;97680;2060098;spinosad;168316-95-8;0.48;N Organique;;Non
2017;97680;2080019;laminarine;9008-22-4;0.045;Autre;;Non
2017;97680;2080060;pyriproxyfene;95737-68-1;0.1;N Organique;;Non
2017;97680;2080101;acetamipride;135410-20-7;1.0;N Organique;;Non
2017;97680;2090127;huile essentielle d'orange douce;8028-48-6;0.3;N Organique;;Non
2017;97680;2100026;cypermethrine;52315-07-8;5.0;N Organique;;Non
2017;97680;2100030;phosphate ferrique;10045-86-0;1.782;Autre;;Non
2017;97680;2100122;chlorantraniliprole;500008-45-7;0.35;N Organique;;Non
2017;97680;2100231;emamectine benzoate;155569-91-8;0.0095;T, T+, CMR;;Non
2017;97680;2120069;bacillus firmus i-1582;;0.5;Autre;;Non
2017;97680;2130075;metaldehyde;108-62-3;3.2;Autre;;Non
2017;97680;2130092;spiromesifen;283594-90-1;0.48;Autre;;Non
2017;97680;8800395;lambda-cyhalothrine;91465-08-6;0.025;T, T+, CMR;;Non
2017;97680;8800395;pyrimicarbe;23103-98-2;0.5;T, T+, CMR;;Non
2017;97680;8800841;difenoconazole;119446-68-3;1.0;N Organique;;Non
2017;97680;9200214;soufre pour pulverisation (micronise);7704-34-9;80.0;Autre;;Non
2017;97680;9700027;hexythiazox;78587-05-0;0.1;N Organique;;Non
2017;97680;9700332;azoxystrobine;131860-33-8;2.5;T, T+, CMR;;Non
2017;97680;9800219;ethephon;16672-87-0;1.2;T, T+, CMR;;Non
2017;97680;9800280;bacillus thuringiensis sp. tenebrionis;68038-71-1;;Autre;;Non
2017;97680;9800336;lambda-cyhalothrine;91465-08-6;0.3;T, T+, CMR;;Non
2017;97680;9900242;mancozebe;8018-01-7;37.5;T, T+, CMR;;Non
