annee;code_postal_acheteur;amm;substance;cas;quantite_substance;classification;classification_mention;achat_etranger
2018;04000;2000125;cuivre du sulfate de cuivre;8011-63-0;1.12;N minéral;;Non
2018;04000;2000510;fer sous forme de sulfate de fer;7720-78-7;6.4;Autre;;Non
2018;04000;2010023;deltamethrine;52918-63-5;0.045;T, T+, CMR;;Non
2018;04000;2010035;2,4-mcpa;94-74-6;0.6;N Organique;;Non
2018;04000;2010035;dichlorprop-p;15165-67-0;0.3;Autre;;Non
2018;04000;2010035;mecoprop-p (mcpp-p);16484-77-8;0.3;N Organique;;Non
2018;04000;2010410;soufre pour pulverisation (micronise);7704-34-9;5.4;Autre;;Non
2018;04000;2010493;glyphosate;1071-83-6;1.62;N Organique;;Non
2018;04000;2010509;cuivre du sulfate de cuivre;8011-63-0;1.68;N minéral;;Non
2018;04000;2020065;metribuzine;21087-64-9;0.112;N Organique;;Non
2018;04000;2030125;deltamethrine;52918-63-5;0.135;T, T+, CMR;;Non
2018;04000;2030175;bacillus thuringiensis ssp kurstaki souche sa-11;68038-71-1;0.0255;Autre;;Non
2018;04000;2030323;fludioxonil;131341-86-1;0.002;N Organique;;Non
2018;04000;2040146;tefluthrine;79538-32-2;0.2;T, T+, CMR;;Non
2018;04000;2060045;huile vegetale;;0.35;Autre;;Non
2018;04000;2060045;resines (colophane);8050-09-7;3.4;Autre;;Non
2018;04000;2060084;boscalid;188425-85-6;1.335;N Organique;;Non
2018;04000;2060084;pyraclostrobine;175013-18-0;0.335;T, T+, CMR;;Non
2018;04000;2060127;prothioconazole;178928-70-6;1.156;T, T+, CMR;;Non
2018;04000;2060131;2,4-d;94-75-7;0.465;N Organique;;Non
2018;04000;2060131;triclopyr;55335-06-3;0.518;N Organique;;Non
2018;04000;2060133;thiaclopride;111988-49-9;0.48;T, T+, CMR;;Non
2018;04000;2080018;acetamipride;135410-20-7;0.005;N Organique;;Non
2018;04000;2080054;acetamipride;135410-20-7;0.000225;N Organique;;Non
2018;04000;2080112;thirame;137-26-8;0.528;N Organique;;Non
2018;04000;2090016;imazamox;114311-32-9;0.167;N Organique;;Non
2018;04000;2090016;pendimethaline;40487-42-1;2.5;N Organique;;Non
2018;04000;2090052;tribenuron-methyle;101200-48-0;4.0;N Organique;;Non
2018;04000;2090060;deltamethrine;52918-63-5;0.25;T, T+, CMR;;Non
2018;04000;2090060;thiaclopride;111988-49-9;2.5;T, T+, CMR;;Non
2018;04000;2090070;quinoclamine;2797-51-5;3.75;T, T+, CMR;;Non
2018;04000;2090103;soufre pour pulverisation (micronise);7704-34-9;20.0;Autre;;Non
2018;04000;2090128;propiconazole;60207-90-1;0.468;N Organique;;Non
2018;04000;2090146;abamectine;71751-41-2;0.000144;T, T+, CMR;;Non
2018;04000;2090146;pyrethrines;8003-34-7;0.00192;N Organique;;Non
2018;04000;2090160;glyphosate;1071-83-6;28.8;N Organique;;Non
2018;04000;2090164;glyphosate;1071-83-6;27.72;N Organique;;Non
2018;04000;2090171;dimoxystrobine;149961-52-4;1.995;T, T+, CMR;;Non
2018;04000;2090171;epoxiconazole;133855-98-8;0.75;T, T+, CMR;;Non
2018;04000;2090176;diquat;85-00-7;0.0045;T, T+, CMR;;Non
2018;04000;2090176;glyphosate;1071-83-6;0.1245;N Organique;;Non
2018;04000;2100004;acetamipride;135410-20-7;4e-05;N Organique;;Non
2018;04000;2100004;triticonazole;131983-72-7;0.00012;N Organique;;Non
2018;04000;2100015;thifensulfuron-methyle;79277-27-3;0.05;N Organique;;Non
2018;04000;2100030;phosphate ferrique;10045-86-0;1.188;Autre;;Non
2018;04000;2100038;kaolin;1332-58-7;50.0;Autre;;Non
2018;04000;2100108;prothioconazole;178928-70-6;2.5;T, T+, CMR;;Non
2018;04000;2100108;tebuconazole;107534-96-3;2.5;T, T+, CMR;;Non
2018;04000;2100114;cyprodinyl;121552-61-2;1.5;N Organique;;Non
2018;04000;2100114;fludioxonil;131341-86-1;1.0;N Organique;;Non
2018;04000;2100235;fenoxaprop-p-ethyl;71283-80-2;1.28;N Organique;;Non
2018;04000;2100235;iodosulfuron-methyl-sodium;144550-36-7;0.16;N Organique;;Non
2018;04000;2100235;mefenpyr-diethyl;135590-91-9;0.48;Autre;;Non
2018;04000;2110018;difenoconazole;119446-68-3;0.02275;N Organique;;Non
2018;04000;2110018;fludioxonil;131341-86-1;0.02275;N Organique;;Non
2018;04000;2110102;difenoconazole;119446-68-3;0.05;N Organique;;Non
2018;04000;2110102;fludioxonil;131341-86-1;0.05;N Organique;;Non
2018;04000;2110102;sedaxane;874967-67-6;0.1;N Organique;;Non
2018;04000;2110143;metribuzine;21087-64-9;4.8;N Organique;;Non
2018;04000;2110150;huile de colza;8002-13-9;1.554;Autre;;Non
2018;04000;2120018;glyphosate;1071-83-6;3.672;N Organique;;Non
2018;04000;2120034;glyphosate;1071-83-6;57.6;N Organique;;Non
2018;04000;2120086;chlorpyriphos-methyl;5598-13-0;1.125;N Organique;;Non
2018;04000;2120133;fluroxypyr;69377-81-7;0.12;N Organique;;Non
2018;04000;2120133;triclopyr;55335-06-3;0.36;N Organique;;Non
2018;04000;2130061;metconazole;125116-23-6;0.03;T, T+, CMR;;Non
2018;04000;2130081;metaldehyde;108-62-3;1.6;Autre;;Non
2018;04000;2130083;lambda-cyhalothrine;91465-08-6;0.5;T, T+, CMR;;Non
2018;04000;2130093;diflufenicanil;83164-33-4;0.003456;N Organique;;Non
2018;04000;2130093;glyphosate;1071-83-6;0.0216;N Organique;;Non
2018;04000;2130240;fosetyl-aluminium;39148-24-8;0.6;Autre;;Non
2018;04000;2140078;fludioxonil;131341-86-1;0.09;N Organique;;Non
2018;04000;2140078;tefluthrine;79538-32-2;0.36;T, T+, CMR;;Non
2018;04000;2140147;deltamethrine;52918-63-5;0.075;T, T+, CMR;;Non
2018;04000;2140168;cuivre du sulfate tribasique;12527-76-3;0.0665;N minéral;;Non
2018;04000;2140175;metconazole;125116-23-6;0.9;T, T+, CMR;;Non
2018;04000;2140193;sulfate de fer (sulfate ferreux heptahydrate);7782-63-0;0.187;Autre;;Non
2018;04000;2140207;clodinafop-propargyl;105512-06-9;2.0;N Organique;;Non
2018;04000;2140207;cloquintocet-mexyl;99607-70-2;0.5;Autre;;Non
2018;04000;2140252;phosphate ferrique;10045-86-0;0.525;Autre;;Non
2018;04000;2150964;lambda-cyhalothrine;91465-08-6;4.8;T, T+, CMR;;Non
2018;04000;2159998;tebufenpyrad;119168-77-3;0.02;T, T+, CMR;;Non
2018;04000;2160226;phosphate ferrique;10045-86-0;1.8;Autre;;Non
2018;04000;2160479;s-metolachlore;87392-12-9;28.8;N Organique;;Non
2018;04000;2160937;acide halauxifene;943832-60-8;0.432;Autre;;Non
2018;04000;2160937;cloquintocet-mexyl;99607-70-2;0.432;Autre;;Non
2018;04000;2160937;florasulame;145701-23-1;0.36;N Organique;;Non
2018;04000;2160960;glyphosate;1071-83-6;9.6;N Organique;;Non
2018;04000;5100219;soufre sublime;7704-34-9;24.75;Autre;;Non
2018;04000;6400401;lenacile;2164-08-1;9.6;T, T+, CMR;;Non
2018;04000;7700078;diquat;85-00-7;20.0;T, T+, CMR;;Non
2018;04000;7700216;soufre pour pulverisation (micronise);7704-34-9;57.75;Autre;;Non
2018;04000;8300032;2,4-d;94-75-7;0.096;N Organique;;Non
2018;04000;8400528;isoxaben;82558-50-7;0.25;N Organique;;Non
2018;04000;8400574;propyzamide;23950-58-5;56.0;T, T+, CMR;;Non
2018;04000;8600243;aclonifen;74070-46-5;24.0;T, T+, CMR;;Non
2018;04000;8700020;flurochloridone;61213-25-0;10.0;T, T+, CMR;;Non
2018;04000;8700035;esfenvalerate;66230-04-4;0.875;T, T+, CMR;;Non
2018;04000;8800827;chlortoluron;15545-48-9;22.5;T, T+, CMR;;Non
2018;04000;8800827;isoxaben;82558-50-7;0.8415;N Organique;;Non
2018;04000;9000490;cycloxydime;101205-02-1;2.0;T, T+, CMR;;Non
2018;04000;9100296;2,4-d;94-75-7;6.0;N Organique;;Non
2018;04000;9100418;nicosulfuron;111991-09-4;0.6;N Organique;;Non
2018;04000;9200135;cypermethrine;52315-07-8;0.00225;N Organique;;Non
2018;04000;9200548;thirame;137-26-8;0.624;N Organique;;Non
2018;04000;9300189;fluroxypyr;69377-81-7;0.002;N Organique;;Non
2018;04000;9300189;triclopyr;55335-06-3;0.006;N Organique;;Non
2018;04000;9300194;chlorothalonil;1897-45-6;1.875;T, T+, CMR;;Non
2018;04000;9300194;cyproconazole;94361-06-5;0.2;T, T+, CMR;;Non
2018;04000;9300241;glyphosate;1071-83-6;0.306;N Organique;;Non
2018;04000;9500414;cypermethrine;52315-07-8;0.004;N Organique;;Non
2018;04000;9600370;2,4-mcpa;94-74-6;3.5;N Organique;;Non
2018;04000;9600370;clopyralid (sous forme de sel de monoethanolamine);57754-85-5;0.35;Autre;;Non
2018;04000;9700214;kresoxim-methyl;143390-89-0;0.3;T, T+, CMR;;Non
2018;04000;9700521;glyphosate;1071-83-6;0.72;N Organique;;Non
2018;04000;9800018;clomazone;81777-89-1;0.6;N Organique;;Non
2018;04000;9800018;dimethachlore;50563-36-5;3.75;N Organique;;Non
2018;04000;9800018;napropamide;15299-99-7;3.75;N Organique;;Non
2018;04000;9800098;metamitrone;41394-05-2;18.0;N Organique;;Non
2018;04000;9800100;chlortoluron;15545-48-9;161.0;T, T+, CMR;;Non
2018;04000;9800280;bacillus thuringiensis sp. tenebrionis;68038-71-1;0.1725;Autre;;Non
2018;04000;9800344;fludioxonil;131341-86-1;0.0175;N Organique;;Non
2018;04000;9800344;metalaxyl-m;70630-17-0;0.00679;Autre;;Non
2018;04000;9800474;cuivre du sulfate de cuivre;8011-63-0;33.0;N minéral;;Non
2018;04000;9800477;bentazone;25057-89-0;20.8;N Organique;;Non
2018;04000;9800477;dicamba;1918-00-9;5.85;N Organique;;Non
2018;04000;9800481;fleur de chaux (chaux eteinte);1305-62-0;3.25;Autre;;Non
2018;04000;9900047;mesotrione;104206-82-8;0.5;N Organique;;Non
2018;04000;9900119;isoxaben;82558-50-7;0.001196;N Organique;;Non
2018;04000;9900119;oryzalin;19044-88-3;0.004968;T, T+, CMR;;Non
2018;04000;9900257;cuivre du sulfate de cuivre;8011-63-0;45.2;N minéral;;Non
2018;04000;9900282;cuivre de l'oxychlorure de cuivre;1332-40-7;1.05105;T, T+, CMR;;Non
2018;04000;9900329;chloridazone;1698-60-8;12.9;N Organique;;Non
2018;04100;2000044;fluazifop-p-butyl;79241-46-6;2.5;T, T+, CMR;;Non
2018;04100;2000071;2,4-d;94-75-7;0.18375;N Organique;;Non
2018;04100;2000071;dicamba;1918-00-9;0.02625;N Organique;;Non
2018;04100;2000071;sulfate de fer (sulfate ferreux heptahydrate);7782-63-0;7.037625;Autre;;Non
2018;04100;2000125;cuivre du sulfate de cuivre;8011-63-0;0.84;N minéral;;Non
2018;04100;2000327;carfentrazone ethyl;128639-02-1;7.2;N Organique;;Non
2018;04100;2000517;cuivre de l'hydroxyde de cuivre;20427-59-2;54.0;T, T+, CMR;;Non
2018;04100;2000536;1-dodecanol;112-53-8;6.9921;N Organique;;Non
2018;04100;2000536;1-tetradecanol;112-72-1;1.62235;N Organique;;Non
2018;04100;2000536;e8,e10-dodecadiene-1-ol;33956-49-9;11.9734;N Organique;;Non
2018;04100;2010023;deltamethrine;52918-63-5;1.275;T, T+, CMR;;Non
2018;04100;2010035;2,4-mcpa;94-74-6;0.75;N Organique;;Non
2018;04100;2010035;dichlorprop-p;15165-67-0;0.375;Autre;;Non
2018;04100;2010035;mecoprop-p (mcpp-p);16484-77-8;0.375;N Organique;;Non
2018;04100;2010130;cuivre de l'oxyde cuivreux;1317-39-1;22.5;N minéral;;Non
2018;04100;2010132;pymetrozine;123312-89-0;0.5;T, T+, CMR;;Non
2018;04100;2010280;metconazole;125116-23-6;1.8;T, T+, CMR;;Non
2018;04100;2010351;iodosulfuron-methyl-sodium;144550-36-7;0.03;N Organique;;Non
2018;04100;2010351;mefenpyr-diethyl;135590-91-9;0.09;Autre;;Non
2018;04100;2010351;mesosulfuron-methyl;208465-21-8;0.03;N Organique;;Non
2018;04100;2010410;soufre pour pulverisation (micronise);7704-34-9;4.0;Autre;;Non
2018;04100;2010415;glyphosate;1071-83-6;47.25;N Organique;;Non
2018;04100;2010427;quizalofop-p-ethyl;100646-51-3;8.4;N Organique;;Non
2018;04100;2010441;huile de vaseline;8042-47-5;16.34;Autre;;Non
2018;04100;2010493;glyphosate;1071-83-6;0.18;N Organique;;Non
2018;04100;2010509;cuivre du sulfate de cuivre;8011-63-0;0.48;N minéral;;Non
2018;04100;2010513;bacillus thuringiensis ssp kurstaki;68038-71-1;;Autre;;Non
2018;04100;2010531;benoxacor;98730-04-2;1.125;Autre;;Non
2018;04100;2010531;s-metolachlore;87392-12-9;22.875;N Organique;;Non
2018;04100;2020003;phosphate ferrique;10045-86-0;0.024255;Autre;;Non
2018;04100;2020047;glyphosate;1071-83-6;5.4;N Organique;;Non
2018;04100;2020145;metribuzine;21087-64-9;0.7;N Organique;;Non
2018;04100;2030125;deltamethrine;52918-63-5;0.13665;T, T+, CMR;;Non
2018;04100;2030259;gibberellines (a4+a7);8030-53-3;0.13;Autre;;Non
2018;04100;2040195;myclobutanil;88671-89-0;1.62;T, T+, CMR;;Non
2018;04100;2050046;flonicamide;158062-67-0;9.75;Autre;;Non
2018;04100;2050146;diflufenicanil;83164-33-4;0.074;N Organique;;Non
2018;04100;2050146;glyphosate;1071-83-6;0.4625;N Organique;;Non
2018;04100;2060034;kaolin;1332-58-7;118.75;Autre;;Non
2018;04100;2060084;boscalid;188425-85-6;3.471;N Organique;;Non
2018;04100;2060084;pyraclostrobine;175013-18-0;0.871;T, T+, CMR;;Non
2018;04100;2060098;spinosad;168316-95-8;1.056;N Organique;;Non
2018;04100;2060115;azoxystrobine;131860-33-8;3.0;T, T+, CMR;;Non
2018;04100;2060115;cyproconazole;94361-06-5;1.2;T, T+, CMR;;Non
2018;04100;2060127;prothioconazole;178928-70-6;1.72;T, T+, CMR;;Non
2018;04100;2060133;thiaclopride;111988-49-9;3.84;T, T+, CMR;;Non
2018;04100;2060134;captane;133-06-2;247.2;T, T+, CMR;;Non
2018;04100;2060194;tefluthrine;79538-32-2;0.54;T, T+, CMR;;Non
2018;04100;2070107;fosetyl;15845-66-6;2.48;Autre;;Non
2018;04100;2070107;propamocarbe;25606-41-1;4.24;Autre;;Non
2018;04100;2070133;napropamide;15299-99-7;13.5;N Organique;;Non
2018;04100;2080018;acetamipride;135410-20-7;0.005;N Organique;;Non
2018;04100;2080026;nicosulfuron;111991-09-4;0.3;N Organique;;Non
2018;04100;2080038;pyrethrines;8003-34-7;0.1302;N Organique;;Non
2018;04100;2080054;acetamipride;135410-20-7;0.000135;N Organique;;Non
2018;04100;2080070;boscalid;188425-85-6;6.3;N Organique;;Non
2018;04100;2080070;pyraclostrobine;175013-18-0;3.2;T, T+, CMR;;Non
2018;04100;2080101;acetamipride;135410-20-7;1.6;N Organique;;Non
2018;04100;2080102;azoxystrobine;131860-33-8;1.0;T, T+, CMR;;Non
2018;04100;2080102;difenoconazole;119446-68-3;0.625;N Organique;;Non
2018;04100;2090016;imazamox;114311-32-9;0.668;N Organique;;Non
2018;04100;2090016;pendimethaline;40487-42-1;10.0;N Organique;;Non
2018;04100;2090019;6-benzyladenine;1214-39-7;1.4;T, T+, CMR;;Non
2018;04100;2090028;metamitrone;41394-05-2;17.5;N Organique;;Non
2018;04100;2090042;cloquintocet-mexyl;99607-70-2;0.112695;Autre;;Non
2018;04100;2090042;florasulame;145701-23-1;0.03762;N Organique;;Non
2018;04100;2090042;pyroxsulame;422556-08-9;0.112695;T, T+, CMR;;Non
2018;04100;2090044;glyphosate;1071-83-6;0.11355;N Organique;;Non
2018;04100;2090050;cypermethrine;52315-07-8;4.8;N Organique;;Non
2018;04100;2090052;tribenuron-methyle;101200-48-0;0.09;N Organique;;Non
2018;04100;2090057;metsulfuron-methyl;74223-64-6;0.2553;N Organique;;Non
2018;04100;2090057;tribenuron-methyle;101200-48-0;0.5106;N Organique;;Non
