ANNEE;CD_STATION;NBPREL;MOYPTOT;MAXPTOT;MINMOLRECH;MAXMOLRECH;MINMOLQ;MAQMOLQ
2008;00057X0245/F1;1;0,02;0,02;60;60;1;1
2008;00057X0248/F4;1;0;0;60;60;0;0
2008;00066X0042/SO;2;0,27;0,45;31;31;1;2
2008;00068X0122/F9;1;0,02;0,02;61;61;1;1
2008;00071X0015/F;2;0,05;0,1;31;31;0;1
2008;00075X0158/F15;2;0,165;0,3;31;31;1;1
2008;00085X0063/F2;2;0;0;31;31;0;0
2008;00103X0308/F3;1;0,03;0,03;60;60;1;1
2008;00108X0005/GC1;1;0,13;0,13;61;61;2;2
2008;00115X0030/P1;7;0,265714286;0,35;36;60;2;2
2008;00116X0001/P1;2;0,16;0,18;60;61;2;2
2008;00118X0027/SO;2;0,045;0,07;31;31;1;2
2008;00118X0039/F;2;0;0;31;31;0;0
2008;00126X0128/SO;2;0,015;0,03;31;31;0;1
2008;00127X0336/F;2;0,12;0,18;43;43;1;5
2008;00143B0027/F1;1;0;0;28;28;0;0
2008;00144D0129/F1;2;0;0;31;31;0;0
2008;00144D1166/F6;2;0;0;29;60;0;0
2008;00147B3049/F2BULL;1;0,01;0,01;40;40;1;1
2008;00164X0069/F1;5;0,144;0,16;36;36;2;3
2008;00167X0003/F1;7;0,102857143;0,28;49;60;1;5
2008;00171X0113/P1;5;0,234;0,27;36;61;2;2
2008;00173X0047/SO;2;0,11;0,17;31;31;1;2
2008;00175X0032/F1;1;0,02;0,02;61;61;1;1
2008;00176X0057/SO;2;0,03;0,04;31;31;1;1
2008;00177X0047/SO1;2;0,05;0,08;31;31;1;2
2008;00178X0020/SO;2;0,08;0,16;31;31;0;5
2008;00181X0088/E1;2;0,085;0,14;31;31;1;2
2008;00182X0001/S1;2;0,15;0,24;31;31;1;5
2008;00186X0005/SO;2;0,22;0,4;31;31;1;3
2008;00188X0063/SO1;2;0,03;0,06;31;31;0;2
2008;00194D0214/F1;1;0,01;0,01;60;60;1;1
2008;00198X0326/F1;2;0,08;0,16;31;31;0;3
2008;00201B0019/F19;1;0,04;0,04;29;29;1;1
2008;00204X0216/F2;2;0;0;28;60;0;0
2008;00205X0091/F1;1;0,03;0,03;58;58;1;1
2008;00215X0187/PZAE;2;0;0;31;100;0;0
2008;00216X0019/F1;2;0;0;29;29;0;0
2008;00234X0001/F1;1;0,07;0,07;60;60;1;1
2008;00238X0077/F-IRRI;1;0,03;0,03;31;31;1;1
2008;00241X0230/HY;2;0,065;0,12;33;33;1;3
2008;00247X0032/P1;1;0,01;0,01;60;60;1;1
2008;00247X0201/P;1;0,06;0,06;11;11;2;2
2008;00256X0090/SO1;2;0,03;0,05;42;42;1;2
2008;00262X0040/SO1;2;0,045;0,08;31;31;1;2
